date,rank,song,artist,last_week,peak_rank,weeks_on_board
2019-12-14,11,Blinding Lights,The Weeknd,11.0,11,4095
2012-08-18,93,Radioactive,Imagine Dragons,93.0,93,3828
2011-09-03,89,Sail,AWOLNATION,89.0,89,3160
2008-05-03,93,I'm Yours,Jason Mraz,93.0,93,2926
1997-06-21,89,How Do I Live,LeAnn Rimes,89.0,89,2415
2013-07-06,32,Counting Stars,OneRepublic,32.0,32,2346
2011-02-12,78,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,88.0,78,2346
1996-11-30,61,Foolish Games/You Were Meant For Me,Jewel,61.0,61,2145
2010-12-25,68,Rolling In The Deep,Adele,97.0,68,2145
2006-09-16,92,Before He Cheats,Carrie Underwood,92.0,92,2080
2005-02-12,92,You And Me,Lifehouse,92.0,92,1953
2020-01-11,74,I Hope,Gabby Barrett Featuring Charlie Puth,74.0,74,1953
2012-06-23,90,Ho Hey,The Lumineers,90.0,90,1953
2013-01-26,99,Demons,Imagine Dragons,99.0,99,1891
2019-09-14,7,Circles,Post Malone,7.0,7,1891
1995-09-02,70,Macarena (Bayside Boys Mix),Los Del Rio,70.0,70,1830
2009-08-29,85,Need You Now,Lady Antebellum,85.0,85,1830
2013-09-21,97,All Of Me,John Legend,89.0,97,1770
2012-01-21,91,Somebody That I Used To Know,Gotye Featuring Kimbra,91.0,91,1770
2017-01-28,1,Shape Of You,Ed Sheeran,1.0,1,1720
1999-07-31,78,Smooth,Santana Featuring Rob Thomas,78.0,78,1711
2014-10-25,69,Thinking Out Loud,Ed Sheeran,69.0,69,1711
2006-04-15,93,How To Save A Life,The Fray,93.0,93,1711
1999-09-11,81,Higher,Creed,81.0,81,1653
2013-10-05,17,Dark Horse,Katy Perry Featuring Juicy J,17.0,17,1653
2011-08-20,85,Lights,Ellie Goulding,99.0,85,1653
2008-10-11,86,Use Somebody,Kings Of Leon,100.0,86,1653
2017-03-25,37,Perfect,Ed Sheeran,37.0,37,1636
2009-06-27,2,I Gotta Feeling,The Black Eyed Peas,2.0,2,1596
1997-11-01,19,I Don't Want To Wait,Paula Cole,19.0,19,1596
2012-03-10,62,Some Nights,fun.,62.0,62,1596
2000-03-11,80,The Way You Love Me,Faith Hill,80.0,80,1596
2014-11-29,65,Uptown Funk!,Mark Ronson Featuring Bruno Mars,65.0,65,1596
1999-06-05,81,Amazed,Lonestar,81.0,81,1540
1996-11-30,85,Barely Breathing,Duncan Sheik,85.0,85,1540
1995-08-12,94,Missing,Everything But The Girl,94.0,94,1540
2014-04-19,68,Stay With Me,Sam Smith,93.0,68,1485
2009-10-17,98,"Hey, Soul Sister",Train,98.0,98,1485
2012-09-01,99,Cruise,Florida Georgia Line Featuring Nelly,99.0,99,1485
2003-03-22,59,Unwell,matchbox twenty,59.0,59,1485
2001-02-10,76,Hanging By A Moment,Lifehouse,76.0,76,1485
2019-05-25,85,Someone You Loved,Lewis Capaldi,85.0,85,1485
2013-07-13,81,Wake Me Up!,Avicii,81.0,81,1485
2001-03-17,77,Drops Of Jupiter (Tell Me),Train,77.0,77,1431
2010-07-24,92,If I Die Young,The Band Perry,92.0,92,1431
2014-11-22,98,Shut Up And Dance,WALK THE MOON,98.0,98,1431
1999-11-06,81,Breathe,Faith Hill,81.0,81,1431
2013-08-31,95,Pompeii,Bastille,95.0,95,1431
2000-04-08,81,Kryptonite,3 Doors Down,81.0,81,1431
1998-02-14,45,Too Close,Next,45.0,45,1431
2018-11-03,9,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,9.0,9,1431
2015-03-28,100,See You Again,Wiz Khalifa Featuring Charlie Puth,100.0,100,1378
2016-03-05,81,Cheap Thrills,Sia Featuring Sean Paul,81.0,81,1378
2018-10-20,18,Without Me,Halsey,18.0,18,1378
2020-08-22,82,My Ex's Best Friend,Machine Gun Kelly X blackbear,86.0,82,1378
2018-06-09,98,High Hopes,Panic! At The Disco,90.0,98,1378
2015-06-13,89,Stitches,Shawn Mendes,89.0,89,1378
2018-07-28,56,Eastside,"benny blanco, Halsey & Khalid",56.0,56,1378
2018-05-12,7,Better Now,Post Malone,7.0,7,1378
1997-12-06,36,How's It Going To Be,Third Eye Blind,36.0,36,1378
2016-11-12,100,Say You Won't Let Go,James Arthur,100.0,100,1378
2018-06-09,94,Girls Like You,Maroon 5 Featuring Cardi B,94.0,94,1378
2018-09-01,63,Happier,Marshmello & Bastille,63.0,63,1378
2019-11-16,30,Don't Start Now,Dua Lipa,30.0,30,1378
2020-05-23,76,Go Crazy,Chris Brown & Young Thug,76.0,76,1378
1997-12-06,26,Truly Madly Deeply,Savage Garden,26.0,26,1378
2016-02-27,85,Don't Let Me Down,The Chainsmokers Featuring Daya,81.0,85,1378
2020-08-22,84,Mood,24kGoldn Featuring iann dior,84.0,84,1378
2016-08-20,9,Closer,The Chainsmokers Featuring Halsey,9.0,9,1378
2019-09-14,96,The Bones,Maren Morris,53.0,96,1378
2020-02-08,85,Before You Go,Lewis Capaldi,85.0,85,1378
2015-02-07,86,Trap Queen,Fetty Wap,86.0,86,1378
2016-05-28,1,Can't Stop The Feeling!,Justin Timberlake,1.0,1,1378
2015-05-16,87,Stressed Out,twenty one pilots,95.0,87,1378
2018-08-18,4,Sicko Mode,Travis Scott,4.0,4,1378
2017-11-11,61,Meant To Be,Bebe Rexha & Florida Georgia Line,61.0,61,1369
2017-05-20,70,Thunder,Imagine Dragons,70.0,70,1344
2017-02-25,43,Believer,Imagine Dragons,43.0,43,1332
2017-02-04,88,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,88.0,88,1329
2016-12-10,79,That's What I Like,Bruno Mars,82.0,79,1329
2003-08-30,64,Here Without You,3 Doors Down,64.0,64,1326
2018-03-03,43,Love Lies,Khalid & Normani,43.0,43,1326
2020-02-22,96,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",96.0,96,1326
2008-05-24,15,Viva La Vida,Coldplay,15.0,15,1326
2018-04-21,8,I Like It,"Cardi B, Bad Bunny & J Balvin",8.0,8,1326
2015-03-14,98,Watch Me,Silento,98.0,98,1326
2006-02-18,97,What Hurts The Most,Rascal Flatts,97.0,97,1326
2008-11-22,12,You Belong With Me,Taylor Swift,87.0,12,1275
2014-09-06,1,Shake It Off,Taylor Swift,1.0,1,1275
2016-12-31,83,Congratulations,Post Malone Featuring Quavo,90.0,83,1275
2003-08-23,81,Someday,Nickelback,81.0,81,1275
2019-12-21,35,Adore You,Harry Styles,35.0,35,1275
2012-03-10,38,Call Me Maybe,Carly Rae Jepsen,38.0,38,1275
2018-01-27,84,Tequila,Dan + Shay,87.0,84,1275
2007-06-23,97,Paralyzer,Finger Eleven,97.0,97,1275
2001-09-08,75,How You Remind Me,Nickelback,75.0,75,1225
2008-08-16,76,Just Dance,Lady Gaga Featuring Colby O'Donis,76.0,76,1225
1995-03-25,80,Run-Around,Blues Traveler,80.0,80,1225
2019-04-13,7,Bad Guy,Billie Eilish,7.0,7,1225
2012-09-15,96,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,96.0,96,1225
2006-10-14,94,Rockstar,Nickelback,94.0,94,1225
2011-07-09,8,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,8.0,8,1225
2008-09-27,16,Love Story,Taylor Swift,16.0,16,1225
2007-05-05,41,Big Girls Don't Cry,Fergie,41.0,41,1176
2013-05-04,94,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,94.0,94,1176
2018-06-16,96,Youngblood,5 Seconds Of Summer,96.0,96,1176
1996-04-06,98,Counting Blue Cars,Dishwalla,98.0,98,1176
2000-05-13,83,I Hope You Dance,Lee Ann Womack,83.0,83,1176
2015-06-13,20,The Hills,The Weeknd,20.0,20,1176
1998-03-21,90,This Kiss,Faith Hill,90.0,90,1176
2007-03-24,93,Teardrops On My Guitar,Taylor Swift,93.0,93,1176
2018-05-26,74,Lucid Dreams,Juice WRLD,74.0,74,1176
2015-04-25,100,Lean On,Major Lazer & DJ Snake Featuring MO,100.0,100,1176
2018-09-29,45,Better,Khalid,45.0,45,1176
2012-04-21,92,Little Talks,Of Monsters And Men,92.0,92,1176
2010-08-07,43,Just The Way You Are,Bruno Mars,43.0,43,1176
2010-09-11,96,F**k You! (Forget You),CeeLo Green,96.0,96,1176
2017-08-19,90,New Rules,Dua Lipa,90.0,90,1155
1997-08-23,25,You Make Me Wanna...,Usher,25.0,25,1128
2007-06-02,91,Bubbly,Colbie Caillat,100.0,91,1128
2014-01-18,98,Happy,Pharrell Williams,98.0,98,1128
2007-04-21,95,Apologize,Timbaland Featuring OneRepublic,95.0,95,1128
2000-05-13,84,With Arms Wide Open,Creed,84.0,84,1128
2010-06-19,26,Dynamite,Taio Cruz,26.0,26,1128
2014-07-26,84,All About That Bass,Meghan Trainor,84.0,84,1128
2012-06-23,93,It's Time,Imagine Dragons,93.0,93,1128
2019-03-16,1,Sucker,Jonas Brothers,1.0,1,1128
1995-12-16,79,Nobody Knows,The Tony Rich Project,79.0,79,1128
2019-06-22,9,No Guidance,Chris Brown Featuring Drake,9.0,9,1081
2019-02-23,44,Talk,Khalid,44.0,44,1081
2004-08-28,60,Breakaway,Kelly Clarkson,60.0,60,1081
2001-04-14,79,It's Been Awhile,Staind,79.0,79,1081
2014-05-24,75,Chandelier,Sia,75.0,75,1081
1996-02-10,12,Follow You Down/Til I Hear It From You,Gin Blossoms,12.0,12,1081
2012-05-12,99,Wanted,Hunter Hayes,99.0,99,1081
1997-12-20,9,Together Again,Janet,9.0,9,1081
2015-11-07,79,Cake By The Ocean,DNCE,79.0,79,1081
2004-12-18,70,Since U Been Gone,Kelly Clarkson,70.0,70,1081
2017-08-26,99,Havana,Camila Cabello Featuring Young Thug,94.0,99,1062
2015-03-21,97,Where Are U Now,Skrillex & Diplo With Justin Bieber,97.0,97,1035
2020-11-07,2,Forever After All,Luke Combs,2.0,2,1035
2016-02-20,91,Needed Me,Rihanna,91.0,91,1035
2003-05-03,98,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,98.0,98,1035
2002-11-23,67,When I'm Gone,3 Doors Down,67.0,67,1035
2006-06-03,54,Chasing Cars,Snow Patrol,54.0,54,1035
2001-11-10,71,Wherever You Will Go,The Calling,71.0,71,1035
2011-04-16,60,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",60.0,60,1035
2005-05-28,74,Feel Good Inc,Gorillaz,74.0,74,1035
2018-10-13,28,Shallow,Lady Gaga & Bradley Cooper,28.0,28,1035
2019-03-16,83,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,83.0,83,1035
1994-05-28,89,100% Pure Love,Crystal Waters,89.0,89,1035
2004-01-10,53,Yeah!,Usher Featuring Lil Jon & Ludacris,53.0,53,1035
2019-01-26,33,Dancing With A Stranger,Sam Smith & Normani,33.0,33,1035
1994-08-27,77,Another Night,Real McCoy,77.0,77,1035
1993-05-29,65,Whoomp! (There It Is),Tag Team,65.0,65,1035
2017-07-08,89,Feel It Still,Portugal. The Man,89.0,89,1008
